"Year","State","type","Process","Status","Measure","Chem","killer","Compound","Coumpound Value","Value","Stats"
"1",2019,"CALIFORNIA","TAME"," ","HARVESTED","ACRES","TOTAL"," "," "," ","7,300"," "
"2",2019,"CALIFORNIA","TAME"," ","PRODUCTION","MEASURED IN LB","TOTAL"," "," "," ","73,700,000"," "
"3",2019,"CALIFORNIA","TAME"," ","YIELD","MEASURED IN LB / ACRE","TOTAL"," "," "," ","10,100"," "
"4",2019,"CALIFORNIA","TAME"," ","FRESH MARKET - PRODUCTION","MEASURED IN $","TOTAL"," "," "," ","199,930,000"," "
"5",2019,"CALIFORNIA","TAME"," ","FRESH MARKET - PRODUCTION","MEASURED IN LB","TOTAL"," "," "," ","56,160,000"," "
"6",2019,"CALIFORNIA","TAME"," ","NOT SOLD - PRODUCTION","MEASURED IN LB","TOTAL"," "," "," ","1,920,000"," "
"7",2019,"CALIFORNIA","TAME"," ","PROCESSING - PRODUCTION","MEASURED IN $","TOTAL"," "," "," ","4,530,000"," "
"8",2019,"CALIFORNIA","TAME"," ","PROCESSING - PRODUCTION","MEASURED IN LB","TOTAL"," "," "," ","15,620,000"," "
"9",2019,"CALIFORNIA","TAME"," ","UTILIZED - PRODUCTION","MEASURED IN $","TOTAL"," "," "," ","204,460,000"," "
"10",2019,"CALIFORNIA","TAME"," ","UTILIZED - PRODUCTION","MEASURED IN LB","TOTAL"," "," "," ","71,780,000"," "
"11",2019,"FLORIDA","TAME"," ","HARVESTED","ACRES","TOTAL"," "," "," ","5,100"," "
"12",2019,"FLORIDA","TAME"," ","PRODUCTION","MEASURED IN LB","TOTAL"," "," "," ","24,200,000"," "
"13",2019,"FLORIDA","TAME"," ","YIELD","MEASURED IN LB / ACRE","TOTAL"," "," "," ","4,740"," "
"14",2019,"FLORIDA","TAME"," ","FRESH MARKET - PRODUCTION","MEASURED IN $","TOTAL"," "," "," "," "," "
"15",2019,"FLORIDA","TAME"," ","FRESH MARKET - PRODUCTION","MEASURED IN LB","TOTAL"," "," "," "," "," "
"16",2019,"FLORIDA","TAME"," ","NOT SOLD - PRODUCTION","MEASURED IN LB","TOTAL"," "," "," ","580,000"," "
"17",2019,"FLORIDA","TAME"," ","PROCESSING - PRODUCTION","MEASURED IN $","TOTAL"," "," "," "," "," "
"18",2019,"FLORIDA","TAME"," ","PROCESSING - PRODUCTION","MEASURED IN LB","TOTAL"," "," "," "," "," "
"19",2019,"FLORIDA","TAME"," ","UTILIZED - PRODUCTION","MEASURED IN $","TOTAL"," "," "," ","62,309,000"," "
"20",2019,"FLORIDA","TAME"," ","UTILIZED - PRODUCTION","MEASURED IN LB","TOTAL"," "," "," ","23,620,000"," "
"21",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","AZOXYSTROBIN","128810","1,800"," "
"22",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482"," "," "
"23",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","BACILLUS SUBTILIS","6479"," "," "
"24",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","BORAX DECAHYDRATE","11102"," "," "
"25",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","BOSCALID","128008","2,300"," "
"26",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","CALCIUM POLYSULFIDE","76702","20,200"," "
"27",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","CAPTAN","81301","44,000"," "
"28",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","CHLOROTHALONIL","81901","3,900"," "
"29",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","COPPER CHLORIDE HYD.","23501"," "," "
"30",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","COPPER HYDROXIDE","23401"," "," "
"31",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","COPPER SULFATE","24401"," "," "
"32",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","CYPRODINIL","288202","1,900"," "
"33",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","DIFENOCONAZOLE","128847"," "," "
"34",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","FENBUCONAZOLE","129011","500"," "
"35",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","FENHEXAMID","90209"," "," "
