"Year","State","Process","Status","Measure","Chem","killer","Compound","Coumpound Value","Value","Stats"
"1",2019,"CALIFORNIA"," ","ACRES HARVESTED","MEASURED IN ACRES","NOT SPECIFIED"," "," "," ","35,400"," "
"2",2019,"CALIFORNIA"," ","ACRES PLANTED","MEASURED IN ACRES","NOT SPECIFIED"," "," "," ","36,000"," "
"3",2019,"CALIFORNIA"," ","PRODUCTION","MEASURED IN $","NOT SPECIFIED"," "," "," ","2,221,320,000"," "
"4",2019,"CALIFORNIA"," ","PRODUCTION","MEASURED IN CWT","NOT SPECIFIED"," "," "," ","20,500,000"," "
"5",2019,"CALIFORNIA"," ","YIELD","MEASURED IN CWT / ACRE","NOT SPECIFIED"," "," "," ","580"," "
"6",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","AZOXYSTROBIN","128810","5,500"," "
"7",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS MBI 600","129082"," "," "
"8",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482"," "," "
"9",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","BACILLUS PUMILUS","6485"," "," "
"10",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","BACILLUS SUBT. GB03","129068"," "," "
"11",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","BACILLUS SUBTILIS","6479"," "," "
"12",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","BLAD","30006","1,200"," "
"13",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","BORAX DECAHYDRATE","11102","300"," "
"14",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","BOSCALID","128008","6,200"," "
"15",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19","6544"," "," "
"16",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","CAPTAN","81301","283,500"," "
